id,name,category,subcategory,muscle_groups,equipment,difficulty,instructions,safety_notes,body_part,secondary_muscles,is_beginner_safe,requires_spotter,calories_per_minute,target_reps,target_sets,rest_time_seconds,progression_tips,common_mistakes
19,Dips (resistance_band),strength,chest,"chest,triceps,shoulders",resistance_band,intermediate,Perform dips using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",False,False,5,11-16,3,72,"Gradually increase intensity, reps, or weight for dips","Poor form, rushing through reps, inadequate warm-up"
20,Pull-ups,strength,back,"back,biceps,rear_delts",bodyweight,intermediate,Perform pull-ups using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",True,False,8,11-16,2,106,"Gradually increase intensity, reps, or weight for pull-ups","Poor form, rushing through reps, inadequate warm-up"
21,Pull-ups (cable),strength,back,"back,biceps,rear_delts",cable,intermediate,Perform pull-ups using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",False,False,6,8-16,2,74,"Gradually increase intensity, reps, or weight for pull-ups","Poor form, rushing through reps, inadequate warm-up"
22,Chin-ups,strength,back,"back,biceps,rear_delts",bodyweight,intermediate,Perform chin-ups using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",True,False,5,9-16,4,94,"Gradually increase intensity, reps, or weight for chin-ups","Poor form, rushing through reps, inadequate warm-up"
23,Chin-ups (dumbbell),strength,back,"back,biceps,rear_delts",dumbbell,intermediate,Perform chin-ups using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",False,False,5,12-16,2,114,"Gradually increase intensity, reps, or weight for chin-ups","Poor form, rushing through reps, inadequate warm-up"
24,Rows,strength,back,"back,biceps,rear_delts",bodyweight,intermediate,Perform rows using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",True,False,7,8-20,3,76,"Gradually increase intensity, reps, or weight for rows","Poor form, rushing through reps, inadequate warm-up"
25,Rows (barbell),strength,back,"back,biceps,rear_delts",barbell,advanced,Perform rows using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,back,"core,stabilizers",False,False,8,10-17,3,87,"Gradually increase intensity, reps, or weight for rows","Poor form, rushing through reps, inadequate warm-up"
26,Lat Pulldowns (dumbbell),strength,back,"back,biceps,rear_delts",dumbbell,intermediate,Perform lat pulldowns using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",False,False,8,8-17,2,105,"Gradually increase intensity, reps, or weight for lat pulldowns","Poor form, rushing through reps, inadequate warm-up"
27,Lat Pulldowns (barbell),strength,back,"back,biceps,rear_delts",barbell,advanced,Perform lat pulldowns using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,back,"core,stabilizers",False,False,6,9-17,4,120,"Gradually increase intensity, reps, or weight for lat pulldowns","Poor form, rushing through reps, inadequate warm-up"
28,Lat Pulldowns (machine),strength,back,"back,biceps,rear_delts",machine,beginner,Perform lat pulldowns using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",True,False,7,9-17,3,111,"Gradually increase intensity, reps, or weight for lat pulldowns","Poor form, rushing through reps, inadequate warm-up"
29,Lat Pulldowns (kettlebell),strength,back,"back,biceps,rear_delts",kettlebell,intermediate,Perform lat pulldowns using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",False,False,5,8-20,2,88,"Gradually increase intensity, reps, or weight for lat pulldowns","Poor form, rushing through reps, inadequate warm-up"
30,Deadlifts,strength,back,"back,biceps,rear_delts",bodyweight,intermediate,Perform deadlifts using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",True,False,6,8-16,2,68,"Gradually increase intensity, reps, or weight for deadlifts","Poor form, rushing through reps, inadequate warm-up"
31,Deadlifts (dumbbell),strength,back,"back,biceps,rear_delts",dumbbell,intermediate,Perform deadlifts using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",False,False,4,11-18,4,107,"Gradually increase intensity, reps, or weight for deadlifts","Poor form, rushing through reps, inadequate warm-up"
32,Deadlifts (machine),strength,back,"back,biceps,rear_delts",machine,beginner,Perform deadlifts using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",True,False,5,10-20,3,82,"Gradually increase intensity, reps, or weight for deadlifts","Poor form, rushing through reps, inadequate warm-up"
33,Deadlifts (cable),strength,back,"back,biceps,rear_delts",cable,intermediate,Perform deadlifts using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",False,False,6,12-15,3,61,"Gradually increase intensity, reps, or weight for deadlifts","Poor form, rushing through reps, inadequate warm-up"
34,Deadlifts (resistance_band),strength,back,"back,biceps,rear_delts",resistance_band,intermediate,Perform deadlifts using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",False,False,4,12-20,2,114,"Gradually increase intensity, reps, or weight for deadlifts","Poor form, rushing through reps, inadequate warm-up"
35,T-Bar Rows,strength,back,"back,biceps,rear_delts",bodyweight,intermediate,Perform t-bar rows using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",True,False,8,9-15,2,101,"Gradually increase intensity, reps, or weight for t-bar rows","Poor form, rushing through reps, inadequate warm-up"
36,T-Bar Rows (dumbbell),strength,back,"back,biceps,rear_delts",dumbbell,intermediate,Perform t-bar rows using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",False,False,8,10-18,3,106,"Gradually increase intensity, reps, or weight for t-bar rows","Poor form, rushing through reps, inadequate warm-up"
37,T-Bar Rows (cable),strength,back,"back,biceps,rear_delts",cable,intermediate,Perform t-bar rows using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",False,False,5,8-20,4,108,"Gradually increase intensity, reps, or weight for t-bar rows","Poor form, rushing through reps, inadequate warm-up"
38,T-Bar Rows (kettlebell),strength,back,"back,biceps,rear_delts",kettlebell,intermediate,Perform t-bar rows using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",False,False,5,10-20,2,93,"Gradually increase intensity, reps, or weight for t-bar rows","Poor form, rushing through reps, inadequate warm-up"
39,Face Pulls,strength,back,"back,biceps,rear_delts",bodyweight,intermediate,Perform face pulls using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",True,False,6,9-17,2,87,"Gradually increase intensity, reps, or weight for face pulls","Poor form, rushing through reps, inadequate warm-up"
40,Face Pulls (dumbbell),strength,back,"back,biceps,rear_delts",dumbbell,intermediate,Perform face pulls using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,back,"core,stabilizers",False,False,7,12-16,4,69,"Gradually increase intensity, reps, or weight for face pulls","Poor form, rushing through reps, inadequate warm-up"
41,Squats (cable),strength,legs,"quadriceps,hamstrings,glutes",cable,intermediate,Perform squats using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",False,False,7,8-18,2,103,"Gradually increase intensity, reps, or weight for squats","Poor form, rushing through reps, inadequate warm-up"
42,Squats (kettlebell),strength,legs,"quadriceps,hamstrings,glutes",kettlebell,intermediate,Perform squats using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",False,False,5,10-19,4,94,"Gradually increase intensity, reps, or weight for squats","Poor form, rushing through reps, inadequate warm-up"
43,Lunges,strength,legs,"quadriceps,hamstrings,glutes",bodyweight,intermediate,Perform lunges using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",True,False,5,8-18,4,66,"Gradually increase intensity, reps, or weight for lunges","Poor form, rushing through reps, inadequate warm-up"
44,Lunges (barbell),strength,legs,"quadriceps,hamstrings,glutes",barbell,advanced,Perform lunges using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,legs,"core,stabilizers",False,False,5,9-16,4,102,"Gradually increase intensity, reps, or weight for lunges","Poor form, rushing through reps, inadequate warm-up"
45,Lunges (machine),strength,legs,"quadriceps,hamstrings,glutes",machine,beginner,Perform lunges using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",True,False,6,11-20,2,62,"Gradually increase intensity, reps, or weight for lunges","Poor form, rushing through reps, inadequate warm-up"
46,Lunges (cable),strength,legs,"quadriceps,hamstrings,glutes",cable,intermediate,Perform lunges using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",False,False,7,11-15,3,80,"Gradually increase intensity, reps, or weight for lunges","Poor form, rushing through reps, inadequate warm-up"
47,Leg Press (dumbbell),strength,legs,"quadriceps,hamstrings,glutes",dumbbell,intermediate,Perform leg press using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",False,False,8,11-18,2,99,"Gradually increase intensity, reps, or weight for leg press","Poor form, rushing through reps, inadequate warm-up"
48,Leg Press (cable),strength,legs,"quadriceps,hamstrings,glutes",cable,intermediate,Perform leg press using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",False,False,4,10-18,3,76,"Gradually increase intensity, reps, or weight for leg press","Poor form, rushing through reps, inadequate warm-up"
49,Leg Press (kettlebell),strength,legs,"quadriceps,hamstrings,glutes",kettlebell,intermediate,Perform leg press using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",False,False,7,8-17,3,101,"Gradually increase intensity, reps, or weight for leg press","Poor form, rushing through reps, inadequate warm-up"
50,Romanian Deadlifts (cable),strength,legs,"quadriceps,hamstrings,glutes",cable,intermediate,Perform romanian deadlifts using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",False,False,5,11-17,2,68,"Gradually increase intensity, reps, or weight for romanian deadlifts","Poor form, rushing through reps, inadequate warm-up"
51,Bulgarian Split Squats,strength,legs,"quadriceps,hamstrings,glutes",bodyweight,intermediate,Perform bulgarian split squats using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",True,False,4,11-17,4,68,"Gradually increase intensity, reps, or weight for bulgarian split squats","Poor form, rushing through reps, inadequate warm-up"
52,Calf Raises (machine),strength,legs,"quadriceps,hamstrings,glutes",machine,beginner,Perform calf raises using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",True,False,7,9-17,2,75,"Gradually increase intensity, reps, or weight for calf raises","Poor form, rushing through reps, inadequate warm-up"
53,Calf Raises (kettlebell),strength,legs,"quadriceps,hamstrings,glutes",kettlebell,intermediate,Perform calf raises using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",False,False,5,9-17,4,95,"Gradually increase intensity, reps, or weight for calf raises","Poor form, rushing through reps, inadequate warm-up"
54,Step-ups,strength,legs,"quadriceps,hamstrings,glutes",bodyweight,intermediate,Perform step-ups using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",True,False,7,10-18,4,89,"Gradually increase intensity, reps, or weight for step-ups","Poor form, rushing through reps, inadequate warm-up"
55,Step-ups (barbell),strength,legs,"quadriceps,hamstrings,glutes",barbell,advanced,Perform step-ups using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,legs,"core,stabilizers",False,False,7,11-17,2,94,"Gradually increase intensity, reps, or weight for step-ups","Poor form, rushing through reps, inadequate warm-up"
56,Step-ups (machine),strength,legs,"quadriceps,hamstrings,glutes",machine,beginner,Perform step-ups using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",True,False,7,12-16,3,69,"Gradually increase intensity, reps, or weight for step-ups","Poor form, rushing through reps, inadequate warm-up"
57,Wall Sits,strength,legs,"quadriceps,hamstrings,glutes",bodyweight,intermediate,Perform wall sits using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",True,False,7,9-18,2,109,"Gradually increase intensity, reps, or weight for wall sits","Poor form, rushing through reps, inadequate warm-up"
58,Wall Sits (barbell),strength,legs,"quadriceps,hamstrings,glutes",barbell,advanced,Perform wall sits using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,legs,"core,stabilizers",False,False,6,11-15,3,89,"Gradually increase intensity, reps, or weight for wall sits","Poor form, rushing through reps, inadequate warm-up"
59,Wall Sits (cable),strength,legs,"quadriceps,hamstrings,glutes",cable,intermediate,Perform wall sits using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,legs,"core,stabilizers",False,False,7,10-18,3,83,"Gradually increase intensity, reps, or weight for wall sits","Poor form, rushing through reps, inadequate warm-up"
60,Overhead Press (dumbbell),strength,shoulders,"shoulders,triceps",dumbbell,intermediate,Perform overhead press using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,shoulders,"core,stabilizers",False,False,4,12-18,4,60,"Gradually increase intensity, reps, or weight for overhead press","Poor form, rushing through reps, inadequate warm-up"
61,Lateral Raises,strength,shoulders,"shoulders,triceps",bodyweight,intermediate,Perform lateral raises using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,shoulders,"core,stabilizers",True,False,8,10-16,2,80,"Gradually increase intensity, reps, or weight for lateral raises","Poor form, rushing through reps, inadequate warm-up"
62,Lateral Raises (dumbbell),strength,shoulders,"shoulders,triceps",dumbbell,intermediate,Perform lateral raises using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,shoulders,"core,stabilizers",False,False,7,10-19,2,87,"Gradually increase intensity, reps, or weight for lateral raises","Poor form, rushing through reps, inadequate warm-up"
63,Lateral Raises (cable),strength,shoulders,"shoulders,triceps",cable,intermediate,Perform lateral raises using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,shoulders,"core,stabilizers",False,False,8,9-17,2,91,"Gradually increase intensity, reps, or weight for lateral raises","Poor form, rushing through reps, inadequate warm-up"
64,Front Raises,strength,shoulders,"shoulders,triceps",bodyweight,intermediate,Perform front raises using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,shoulders,"core,stabilizers",True,False,5,12-17,2,95,"Gradually increase intensity, reps, or weight for front raises","Poor form, rushing through reps, inadequate warm-up"
65,Front Raises (cable),strength,shoulders,"shoulders,triceps",cable,intermediate,Perform front raises using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,shoulders,"core,stabilizers",False,False,6,12-20,4,68,"Gradually increase intensity, reps, or weight for front raises","Poor form, rushing through reps, inadequate warm-up"
66,Rear Delt Flyes (kettlebell),strength,shoulders,"shoulders,triceps",kettlebell,intermediate,Perform rear delt flyes using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,shoulders,"core,stabilizers",False,False,8,12-18,2,99,"Gradually increase intensity, reps, or weight for rear delt flyes","Poor form, rushing through reps, inadequate warm-up"
67,Arnold Press,strength,shoulders,"shoulders,triceps",bodyweight,intermediate,Perform arnold press using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,shoulders,"core,stabilizers",True,False,8,8-17,2,91,"Gradually increase intensity, reps, or weight for arnold press","Poor form, rushing through reps, inadequate warm-up"
68,Arnold Press (barbell),strength,shoulders,"shoulders,triceps",barbell,advanced,Perform arnold press using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,shoulders,"core,stabilizers",False,True,4,11-18,4,68,"Gradually increase intensity, reps, or weight for arnold press","Poor form, rushing through reps, inadequate warm-up"
69,Arnold Press (machine),strength,shoulders,"shoulders,triceps",machine,beginner,Perform arnold press using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,shoulders,"core,stabilizers",True,False,8,9-20,4,96,"Gradually increase intensity, reps, or weight for arnold press","Poor form, rushing through reps, inadequate warm-up"
70,Arnold Press (resistance_band),strength,shoulders,"shoulders,triceps",resistance_band,intermediate,Perform arnold press using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,shoulders,"core,stabilizers",False,False,5,12-17,2,100,"Gradually increase intensity, reps, or weight for arnold press","Poor form, rushing through reps, inadequate warm-up"
71,Upright Rows,strength,shoulders,"shoulders,triceps",bodyweight,intermediate,Perform upright rows using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,shoulders,"core,stabilizers",True,False,4,12-18,4,105,"Gradually increase intensity, reps, or weight for upright rows","Poor form, rushing through reps, inadequate warm-up"
72,Upright Rows (kettlebell),strength,shoulders,"shoulders,triceps",kettlebell,intermediate,Perform upright rows using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,shoulders,"core,stabilizers",False,False,8,8-15,4,88,"Gradually increase intensity, reps, or weight for upright rows","Poor form, rushing through reps, inadequate warm-up"
73,Upright Rows (resistance_band),strength,shoulders,"shoulders,triceps",resistance_band,intermediate,Perform upright rows using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,shoulders,"core,stabilizers",False,False,5,8-19,3,90,"Gradually increase intensity, reps, or weight for upright rows","Poor form, rushing through reps, inadequate warm-up"
74,Bicep Curls,strength,arms,"biceps,triceps",bodyweight,intermediate,Perform bicep curls using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,arms,"core,stabilizers",True,False,8,10-18,3,120,"Gradually increase intensity, reps, or weight for bicep curls","Poor form, rushing through reps, inadequate warm-up"
75,Bicep Curls (barbell),strength,arms,"biceps,triceps",barbell,advanced,Perform bicep curls using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,arms,"core,stabilizers",False,False,6,8-20,2,101,"Gradually increase intensity, reps, or weight for bicep curls","Poor form, rushing through reps, inadequate warm-up"
76,Tricep Extensions,strength,arms,"biceps,triceps",bodyweight,intermediate,Perform tricep extensions using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,arms,"core,stabilizers",True,False,7,9-15,2,60,"Gradually increase intensity, reps, or weight for tricep extensions","Poor form, rushing through reps, inadequate warm-up"
77,Tricep Extensions (machine),strength,arms,"biceps,triceps",machine,beginner,Perform tricep extensions using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,arms,"core,stabilizers",True,False,4,9-18,3,60,"Gradually increase intensity, reps, or weight for tricep extensions","Poor form, rushing through reps, inadequate warm-up"
78,Tricep Extensions (cable),strength,arms,"biceps,triceps",cable,intermediate,Perform tricep extensions using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,arms,"core,stabilizers",False,False,4,12-19,3,115,"Gradually increase intensity, reps, or weight for tricep extensions","Poor form, rushing through reps, inadequate warm-up"
79,Hammer Curls,strength,arms,"biceps,triceps",bodyweight,intermediate,Perform hammer curls using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,arms,"core,stabilizers",True,False,7,11-17,3,108,"Gradually increase intensity, reps, or weight for hammer curls","Poor form, rushing through reps, inadequate warm-up"
80,Preacher Curls,strength,arms,"biceps,triceps",bodyweight,intermediate,Perform preacher curls using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,arms,"core,stabilizers",True,False,4,11-17,2,72,"Gradually increase intensity, reps, or weight for preacher curls","Poor form, rushing through reps, inadequate warm-up"
81,Preacher Curls (cable),strength,arms,"biceps,triceps",cable,intermediate,Perform preacher curls using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,arms,"core,stabilizers",False,False,4,9-15,4,116,"Gradually increase intensity, reps, or weight for preacher curls","Poor form, rushing through reps, inadequate warm-up"
82,Preacher Curls (kettlebell),strength,arms,"biceps,triceps",kettlebell,intermediate,Perform preacher curls using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,arms,"core,stabilizers",False,False,7,12-20,3,91,"Gradually increase intensity, reps, or weight for preacher curls","Poor form, rushing through reps, inadequate warm-up"
83,Close Grip Push-ups (resistance_band),strength,arms,"biceps,triceps",resistance_band,intermediate,Perform close grip push-ups using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,arms,"core,stabilizers",False,False,6,9-19,4,105,"Gradually increase intensity, reps, or weight for close grip push-ups","Poor form, rushing through reps, inadequate warm-up"
84,Tricep Dips (dumbbell),strength,arms,"biceps,triceps",dumbbell,intermediate,Perform tricep dips using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,arms,"core,stabilizers",False,False,5,11-18,3,84,"Gradually increase intensity, reps, or weight for tricep dips","Poor form, rushing through reps, inadequate warm-up"
85,Tricep Dips (machine),strength,arms,"biceps,triceps",machine,beginner,Perform tricep dips using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,arms,"core,stabilizers",True,False,5,9-20,2,102,"Gradually increase intensity, reps, or weight for tricep dips","Poor form, rushing through reps, inadequate warm-up"
86,Walking,cardio,low_intensity,general,bodyweight,intermediate,Perform walking using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",True,False,14,30-60 seconds,4,36,"Gradually increase intensity, reps, or weight for walking","Poor form, rushing through reps, inadequate warm-up"
87,Walking (dumbbell),cardio,low_intensity,general,dumbbell,intermediate,Perform walking using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",False,False,11,30-60 seconds,2,30,"Gradually increase intensity, reps, or weight for walking","Poor form, rushing through reps, inadequate warm-up"
88,Walking (kettlebell),cardio,low_intensity,general,kettlebell,intermediate,Perform walking using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",False,False,10,30-60 seconds,4,45,"Gradually increase intensity, reps, or weight for walking","Poor form, rushing through reps, inadequate warm-up"
89,Walking (resistance_band),cardio,low_intensity,general,resistance_band,intermediate,Perform walking using resistance_band with proper form and controlled movement.,Warm up before exercising. Use proper form.,low_intensity,"core,stabilizers",False,False,12,30-60 seconds,4,58,"Gradually increase intensity, reps, or weight for walking","Poor form, rushing through reps, inadequate warm-up"
